A,B,C,D,E,F,G,H,I,J,K,L,Class
122163,123369,483.0261,1649.076,633.2091,370.91985,1.21575,1.4853,1.0443,1.2702,2.56065,1.1442,M
111648,112699.5,461.7705,1653.153,681.3159,315.35715,1.3296,1.48605,1.0626,1.15515,3.24075,1.0167,M
97975.5,98857.5,432.573,1453.3425,556.7409,336.71685,1.1946,1.48665,1.1421,1.31145,2.4801,1.1655,M
130759.5,131719.5,499.7322,1853.364,794.0748,315.35895,1.3767,1.48905,0.8028,1.0764,3.777,0.94395,P
84310.5,85059,401.27445,1448.6505,596.7987,271.03545,1.33635,1.4868,0.88935,1.13595,3.30285,1.0086,P
135570,136713,508.8414,1870.104,791.06835,330.8529,1.36245,1.4874,1.1382,1.09605,3.5865,0.9648,P
85348.5,87606,403.73715,1496.7525,608.1003,271.87155,1.34175,1.4613,1.14765,1.07715,3.35505,0.99585,P
107496,108799.5,453.1029,1592.712,653.5269,315.32745,1.31385,1.482,0.954,1.1982,3.10875,1.03995,P
91345.5,92214,417.68055,1417.287,562.1658,310.64625,1.25025,1.4859,1.00245,1.2858,2.71455,1.1145,M
108954,109896,456.1653,1642.542,685.6587,304.6872,1.3437,1.4871,0.95475,1.1418,3.3756,0.99795,P
113305.5,114352.5,465.18555,1568.6625,601.2846,360.5322,1.20045,1.4862,1.0581,1.30185,2.5017,1.16055,M
109165.5,110008.5,456.6078,1600.4445,645.3246,325.8813,1.29465,1.48845,1.0602,1.2051,2.9703,1.0614,M
147166.5,148276.5,530.15775,1807.4535,710.2878,396.4995,1.24455,1.48875,1.0221,1.27365,2.6871,1.1196,M
101965.5,102712.5,441.29325,1479.6045,569.04,343.34235,1.19625,1.48905,1.1241,1.31685,2.4861,1.16325,M
139852.5,141166.5,516.81585,1824.8505,736.46445,363.59205,1.3044,1.48605,0.91725,1.1874,3.03825,1.0527,M
107703,108624,453.53895,1634.3535,690.2445,298.42665,1.35255,1.48725,0.89805,1.14,3.46935,0.98565,P
113574,114357,465.73635,1596.945,641.6997,338.90175,1.2738,1.4898,1.11615,1.25925,2.84025,1.0887,M
117811.5,119305.5,474.34515,1652.655,649.79025,348.9312,1.2654,1.48125,1.09155,1.21965,2.7933,1.095,M
117505.5,118849.5,473.7288,1705.725,704.2785,320.64285,1.33545,1.48305,0.8616,1.14195,3.29475,1.0089,P
119076,120496.5,476.88405,1663.377,659.1156,346.75965,1.2756,1.4823,1.01625,1.2168,2.8512,1.08525,M
98790,99934.5,434.3673,1559.193,641.7567,297.8058,1.3287,1.48275,0.8718,1.149,3.2325,1.0152,P
105651,106800,449.19765,1547.07,611.23635,331.18035,1.26075,1.4838,1.0095,1.24815,2.7684,1.10235,M
92791.5,93927,420.9735,1503.2505,609.56085,293.9622,1.314,1.48185,0.8784,1.161,3.1104,1.0359,P
133998,135685.5,505.88265,1799.5635,707.96625,362.2764,1.2888,1.4814,1.13085,1.16985,2.9313,1.0719,M
107334,108564,452.76135,1642.8975,686.0334,301.0662,1.3479,1.48305,1.09935,1.1244,3.41805,0.99,P
118761,119935.5,476.25285,1792.2315,773.40915,294.84225,1.38675,1.4853,0.80805,1.04535,3.93465,0.9237,P
90025.5,90837,414.65175,1533.54,659.80485,261.17475,1.37745,1.48665,0.8241,1.0824,3.78945,0.9426,P
109410,110502,457.11885,1620.882,660.28215,319.3551,1.31295,1.48515,0.9012,1.1775,3.10125,1.03845,M
142615.5,144100.5,521.89605,1901.0925,800.47755,341.5095,1.3566,1.48455,1.1232,1.1157,3.51585,0.978,P
100132.5,100962,437.3088,1468.353,559.02465,343.3932,1.18365,1.4877,1.0989,1.3131,2.44185,1.17345,M
154783.5,156280.5,543.70455,1860.177,719.75235,412.21995,1.22955,1.4856,1.0488,1.2648,2.619,1.1331,M
140718,141616.5,518.4126,1816.839,750.91815,358.41585,1.31805,1.49055,0.9231,1.2054,3.14265,1.0356,P
106831.5,107712,451.70025,1539.5055,605.99385,337.93395,1.24515,1.4877,1.1346,1.2744,2.6898,1.1181,M
103290,104985,444.15015,1541.751,573.26685,348.108,1.19175,1.47585,1.08375,1.22865,2.4702,1.1622,M
109926,110841,458.19555,1582.563,616.24845,341.60985,1.24845,1.48755,1.155,1.24095,2.706,1.11525,M
142135.5,143343,521.01705,1857.678,769.87575,354.0999,1.33185,1.4874,1.0389,1.1646,3.2613,1.0152,P
138766.5,139702.5,514.80525,1750.4625,697.13085,380.70525,1.25655,1.48995,1.10295,1.28055,2.7468,1.10775,P
149977.5,151096.5,535.19715,1860.7065,752.1027,381.717,1.2924,1.4889,1.0959,1.22475,2.95545,1.0674,P
149853,152848.5,534.97485,1970.7765,800.54205,362.9532,1.33695,1.4706,1.1562,1.09095,3.3084,1.00245,P
89802,90565.5,414.13665,1418.733,558.23445,309.8079,1.24785,1.4874,1.0161,1.2615,2.70285,1.11285,M
131343,132427.5,500.84595,1761.768,716.5773,352.4079,1.30605,1.4877,1.01115,1.1964,3.0501,1.04835,P
110022,111252,458.39565,1648.7055,683.10525,310.15755,1.3365,1.48335,1.0896,1.14435,3.3036,1.0065,P
124828.5,126019.5,488.26725,1654.602,618.5052,386.5065,1.17105,1.48575,1.0857,1.28925,2.4003,1.1841,M
146950.5,148047,529.76865,1781.34,681.2349,413.30595,1.19235,1.4889,1.1127,1.30935,2.47245,1.16655,M
123903,125184,486.45375,1652.619,641.1624,370.5462,1.22415,1.4847,1.12395,1.28265,2.59545,1.13805,M
158257.5,159811.5,549.77235,1930.743,777.11955,391.0299,1.2963,1.48545,1.11,1.2003,2.9811,1.0611,P
108955.5,109813.5,456.16845,1532.1675,597.87915,348.91905,1.218,1.4883,1.1136,1.31235,2.57025,1.1445,M
133929,135690,505.75245,1738.0065,674.562,380.4885,1.23855,1.4805,1.107,1.25355,2.65935,1.12455,M
121402.5,122479.5,481.52025,1672.869,668.85165,348.0279,1.281,1.4868,0.9861,1.22655,2.8827,1.07985,P
130665,132000,499.5516,1806.591,754.59915,331.5069,1.34745,1.48485,1.04745,1.1319,3.41445,0.993,P
112438.5,113502,463.40235,1589.223,599.98905,359.4705,1.20105,1.4859,1.1028,1.2588,2.50365,1.1586,M
114517.5,115762.5,467.66685,1701.3945,712.44855,308.13885,1.3524,1.4838,0.86715,1.11855,3.46815,0.9846,P
106428,107500.5,450.84645,1590.2235,634.3698,321.25845,1.29345,1.485,0.9456,1.18995,2.9619,1.06605,M
85228.5,86085,403.4532,1425.972,576.9936,282.89715,1.3074,1.48515,1.10925,1.18515,3.0594,1.0488,P
146773.5,147979.5,529.44945,1816.623,714.8571,393.5871,1.2522,1.48785,1.05555,1.25745,2.72445,1.1109,M
119791.5,120973.5,478.3146,1684.674,675.8289,339.55095,1.2969,1.4853,1.01625,1.1934,2.9856,1.06155,M
129138,130291.5,496.62405,1827.9375,780.4746,316.6431,1.371,1.48665,1.11975,1.09275,3.6972,0.95445,P
157584,158844,548.60115,1915.9065,778.3602,387.6789,1.30065,1.48815,0.9192,1.2138,3.01155,1.0572,P
155865,156870,545.60085,1915.581,775.9179,384.5511,1.30275,1.4904,1.05255,1.20105,3.02655,1.0548,P
115084.5,116476.5,468.8232,1600.9425,623.10075,354.6171,1.23345,1.482,1.0743,1.2696,2.63565,1.1286,M
88998,90106.5,412.2786,1511.4495,642.40395,266.59455,1.3647,1.48155,0.9549,1.10145,3.61455,0.9627,P
110412,112119,459.2073,1686.801,692.4615,309.0891,1.34235,1.4772,0.8751,1.09725,3.36045,0.9948,P
91978.5,93456,419.1252,1412.148,530.5371,333.2055,1.1673,1.4763,1.06275,1.3041,2.3883,1.185,M
166257,168549,563.4957,2149.335,934.3227,341.66595,1.39605,1.4796,0.99225,1.0176,4.1019,0.90465,P
115680,116655,470.0346,1673.685,694.79505,318.61515,1.33305,1.4874,0.89385,1.1676,3.27105,1.01475,M
91189.5,92560.5,417.3237,1586.814,685.0026,256.79265,1.39065,1.4778,1.0716,1.0239,4.00125,0.9138,P
136537.5,137673,510.65385,1817.9265,754.65015,346.36335,1.33275,1.4877,1.14105,1.1682,3.2682,1.01505,P
90891,91974,416.64015,1492.983,622.9536,279.61155,1.3404,1.4823,1.1064,1.1529,3.34185,1.0032,P
136654.5,137595,510.8727,1828.5615,766.72545,342.39075,1.3422,1.4898,1.13835,1.1556,3.35895,0.99945,P
108276,109410,454.74375,1582.212,624.89745,331.36335,1.2717,1.4844,0.95385,1.22295,2.8287,1.09155,M
104763,106113,447.306,1657.9275,704.2476,287.0319,1.3698,1.48095,0.9732,1.0776,3.6804,0.9528,P
117166.5,118231.5,473.04495,1816.9095,789.8916,286.24005,1.398,1.4865,0.79485,1.0035,4.13925,0.89835,P
128982,130392,496.3239,1781.4015,743.7534,331.8378,1.34235,1.4838,1.1577,1.14915,3.36195,1.00095,P
108697.5,110356.5,455.628,1589.0085,635.5995,328.7691,1.2837,1.4775,1.047,1.21725,2.89995,1.0752,M
134491.5,135652.5,506.8134,1737.39,691.48335,372.4398,1.2639,1.4871,1.0317,1.2597,2.7849,1.09935,M
132951,134301,503.9025,1826.0385,758.892,336.09285,1.3449,1.48485,1.10895,1.1274,3.387,0.996,P
95703,96651,427.52685,1568.37,668.27475,275.45235,1.36665,1.4853,1.1079,1.1001,3.63915,0.95955,P
132951,134622,503.9025,1743.4755,685.6035,372.4536,1.2594,1.4814,1.11045,1.2366,2.7612,1.1025,M
129781.5,131529,497.8599,1788.273,727.54635,343.9785,1.3218,1.48005,1.0446,1.1475,3.17265,1.02645,M
109767,110746.5,457.86405,1548.2325,597.0933,352.1718,1.21125,1.4868,1.03455,1.2948,2.54325,1.1502,M
133935,135504,505.76385,1832.37,755.0253,341.03415,1.3383,1.4826,1.0656,1.12785,3.32085,1.00485,P
90816,92188.5,416.46825,1436.2425,549.762,318.4986,1.22265,1.47765,1.09575,1.24485,2.58915,1.13625,M
82333.5,83089.5,396.5418,1362.582,550.71885,286.6365,1.28085,1.48635,1.1274,1.25385,2.88195,1.08,P
138648,139900.5,514.5855,1686.0525,603.9846,439.4397,1.029,1.4865,1.1409,1.37895,2.0616,1.278,M
155094,156346.5,544.24965,1971.207,819.55515,362.38755,1.34535,1.488,0.93885,1.1286,3.39225,0.99615,P
149064,149896.5,533.5647,1842.4905,745.28115,382.96245,1.28685,1.4916,0.97065,1.24155,2.91915,1.07385,P
111408,113137.5,461.27385,1749.6525,752.8761,283.4811,1.3896,1.47705,0.95505,1.029,3.9837,0.91905,P
117798,119182.5,474.318,1685.7735,649.07475,348.30675,1.2657,1.4826,1.04745,1.17195,2.79525,1.0962,M
118654.5,119988,476.03925,1705.6395,706.33815,321.879,1.33515,1.48335,0.89085,1.1532,3.2916,1.011,M
102595.5,103723.5,442.6545,1607.9025,661.7505,298.2588,1.33905,1.48365,0.92115,1.122,3.32805,1.00335,P
123730.5,125316,486.11505,1654.5975,644.0385,369.38205,1.2288,1.48095,1.095,1.27785,2.6154,1.1322,M
116463,117637.5,471.62265,1769.235,757.29885,294.94185,1.3815,1.485,1.0404,1.05195,3.8514,0.9342,P
156975,158754,547.54005,2006.364,842.7051,356.53035,1.35915,1.4832,0.9402,1.1025,3.5454,0.97455,P
153499.5,155293.5,541.4448,1910.082,750.82665,392.51595,1.27875,1.4826,1.02495,1.18965,2.86935,1.08165,M
90091.5,91108.5,414.8037,1450.473,580.87425,299.9151,1.2846,1.4832,1.07205,1.2108,2.9052,1.07115,P
143725.5,144913.5,523.92315,1891.7025,785.80125,350.94375,1.34205,1.4877,0.97305,1.13565,3.35865,1.00005,P
135895.5,137335.5,509.4519,2028.3225,908.37435,288.882,1.42215,1.48425,0.70425,0.9339,4.7166,0.8412,P
103603.5,104434.5,444.82365,1480.0245,557.4027,355.5051,1.1553,1.488,1.1154,1.33725,2.35185,1.197,M
135220.5,136513.5,508.18515,1879.863,809.5209,320.0298,1.37775,1.48575,1.09755,1.08195,3.79425,0.9417,P
100063.5,101146.5,437.15805,1522.9845,607.74195,316.7313,1.28025,1.48395,1.07685,1.2198,2.8782,1.07895,M
163441.5,164914.5,558.7041,2039.715,855.38565,366.2373,1.35555,1.48665,0.8271,1.11075,3.5034,0.9798,P
150747,151846.5,536.5683,1845.0645,720.69825,401.4114,1.24575,1.4892,0.99165,1.25205,2.6931,1.11675,M
106789.5,107647.5,451.61145,1523.619,586.39125,349.8996,1.20375,1.488,1.04085,1.30065,2.51385,1.1553,M
114165,115335,466.94655,1763.259,756.1605,291.3732,1.3842,1.48485,1.04535,1.0383,3.8928,0.92625,P
129883.5,131160,498.0555,1832.5005,766.31955,324.4809,1.35885,1.48545,1.1094,1.09365,3.54255,0.97485,P
117652.5,118482,474.02505,1665.159,689.5767,326.463,1.3212,1.4895,1.1298,1.1997,3.16845,1.0311,P
121312.5,122422.5,481.34175,1712.283,698.3088,334.35255,1.31685,1.48635,0.90195,1.16985,3.13275,1.03395,P
120595.5,122742,479.91705,1704.348,657.97245,351.23925,1.2684,1.47375,1.03425,1.1739,2.80995,1.0941,M
87351,88158,408.44595,1393.1925,542.18265,309.0126,1.23255,1.4862,1.0326,1.27245,2.6319,1.12995,M
85882.5,86847,404.9982,1606.8735,713.8752,232.08795,1.41855,1.48335,0.95955,0.9405,4.61385,0.85095,P
144084,145261.5,524.57625,1783.116,686.9907,402.9066,1.215,1.48785,1.1094,1.2813,2.55765,1.1454,M
136743,138111,511.038,1793.9355,718.66935,364.4382,1.29285,1.48515,0.96075,1.20135,2.958,1.06665,M
128839.5,130264.5,496.0497,1866.2775,799.41225,308.98695,1.38345,1.48365,1.1544,1.04595,3.8808,0.93075,P
185427,187098,595.0962,2064.1635,800.0853,444.41685,1.24725,1.48665,1.00185,1.23045,2.70045,1.1157,P
105592.5,106524,449.0733,1632.78,697.6554,290.08485,1.36425,1.48695,1.1259,1.1199,3.6075,0.96555,P
138181.5,139201.5,513.71895,1895.2335,821.0115,323.1948,1.37895,1.48905,1.10565,1.08765,3.81045,0.93855,P
136177.5,137382,509.9802,1791.231,732.3699,355.89825,1.311,1.4868,1.1298,1.2,3.0867,1.04445,P
109200,110193,456.67995,1559.6595,619.1496,337.77165,1.25715,1.4865,1.01115,1.2693,2.7495,1.1064,M
85323,86316,403.6767,1389.4545,552.0225,296.1831,1.26585,1.48275,1.11045,1.24965,2.7957,1.09695,M
131110.5,132384,500.4024,1806.192,747.8931,335.95125,1.3401,1.4856,1.0965,1.13625,3.3393,1.00365,P
108210,113109,454.60515,1767.369,774.38835,276.8253,1.40085,1.43505,0.77445,0.9795,4.1961,0.88065,P
136648.5,138550.5,510.86145,1786.4085,688.4085,381.1821,1.24905,1.47945,1.0938,1.21065,2.709,1.11315,M
114718.5,115771.5,468.0771,1718.8905,731.36685,299.9625,1.368,1.48635,0.8214,1.09785,3.6573,0.96,P
141249,143115,519.3897,1964.4165,852.44835,319.1964,1.3908,1.4805,1.146,1.035,4.0059,0.91395,P
104602.5,105747,446.9631,1518.1845,592.17165,339.3948,1.22925,1.4838,1.13775,1.2831,2.6172,1.1322,M
118138.5,119142,475.00305,1673.2245,676.55835,334.30065,1.3041,1.4874,1.11675,1.1931,3.0357,1.05315,M
149340,150751.5,534.05835,1884.828,775.33065,369.50595,1.31865,1.4859,1.1331,1.1886,3.14745,1.0332,P
150262.5,152185.5,535.70535,1910.5365,785.1183,368.25465,1.3248,1.4811,1.1115,1.164,3.198,1.02345,P
143619,144925.5,523.72905,1794.588,702.558,391.44705,1.2456,1.4865,1.0983,1.2609,2.6922,1.11825,M
163192.5,164455.5,558.2784,1938.7935,775.806,403.3749,1.2813,1.48845,1.10775,1.22745,2.88495,1.0794,P
151470,152821.5,537.8535,1910.643,773.33985,376.43715,1.31025,1.4868,1.03485,1.17315,3.0816,1.04325,M
102378,103344,442.185,1518.078,603.492,326.36895,1.2618,1.48605,0.9744,1.2561,2.77365,1.09905,M
116679,117546,472.05975,1566.1725,599.0682,373.06275,1.1736,1.4889,1.09425,1.3449,2.4087,1.182,M
87663,88647,409.1748,1491.753,618.7704,271.74615,1.3476,1.48335,1.08855,1.11375,3.4155,0.99195,P
98133,99391.5,432.92055,1512.63,593.0937,317.2023,1.2675,1.48095,1.00095,1.2126,2.8047,1.09485,M
104988,105955.5,447.786,1585.632,651.3891,308.94675,1.3206,1.48635,1.0368,1.18065,3.1626,1.0311,M
128503.5,130596,495.40245,1869.8445,681.59985,364.16085,1.26795,1.476,1.1229,1.0392,2.80755,1.0902,P
122529,123570,483.7491,1693.9425,692.46525,339.1005,1.30785,1.4874,1.0674,1.20735,3.06315,1.0479,P
97455,98580,431.4225,1505.0475,593.46375,317.14305,1.2678,1.4829,1.07295,1.2165,2.80695,1.0905,M
113749.5,114649.5,466.09605,1711.377,738.32685,295.2768,1.37475,1.48815,1.11525,1.09815,3.75075,0.94695,P
117766.5,118885.5,474.25455,1671.003,681.8475,331.49085,1.31085,1.4859,1.06275,1.1925,3.08535,1.04325,M
130303.5,131731.5,498.8601,1747.3275,696.53145,358.383,1.28625,1.4838,1.00185,1.20675,2.91525,1.0743,M
150757.5,152283,536.58705,1818.6915,693.0015,417.56025,1.19715,1.485,1.0953,1.28865,2.4894,1.16145,M
109885.5,110710.5,458.1111,1530.492,593.21325,354.9564,1.2018,1.48875,1.16985,1.32645,2.5068,1.15845,M
91822.5,92904,418.7697,1427.2665,554.10825,319.0803,1.2264,1.4826,1.01685,1.27455,2.6049,1.1337,M
92139,92872.5,419.49075,1476.336,606.5358,290.8266,1.31625,1.48815,1.12905,1.1952,3.1284,1.0374,P
137730,139078.5,512.8791,1798.6935,715.2879,369.83655,1.284,1.48545,1.026,1.2036,2.90115,1.0755,M
116605.5,117597,471.9111,1688.1195,702.8136,317.427,1.3383,1.4874,1.1055,1.15695,3.32115,1.00725,P
107652,108472.5,453.43155,1538.2965,609.8601,337.9614,1.2486,1.4886,1.07595,1.28625,2.70675,1.11525,M
104142,104985,445.9782,1494.5775,569.8155,350.84595,1.182,1.488,1.1055,1.3182,2.43615,1.17405,M
84414,85246.5,401.52075,1332.363,489.22275,330.3582,1.1064,1.4853,1.11795,1.34445,2.22135,1.23105,M
133636.5,134946,505.19985,1708.458,665.577,384.15495,1.2249,1.48545,1.11105,1.2945,2.5989,1.1385,M
98185.5,99601.5,433.03635,1538.676,632.07765,298.67055,1.32195,1.4787,1.09155,1.17255,3.17445,1.02765,P
93247.5,93970.5,422.0067,1405.074,535.24215,333.59025,1.173,1.48845,1.08555,1.33545,2.40675,1.1826,M
110466,111250.5,459.31965,1594.7655,647.8197,327.1368,1.29465,1.48935,1.0659,1.22805,2.97045,1.0635,P
121285.5,122686.5,481.28805,1672.2825,644.90745,361.03395,1.2429,1.4829,1.026,1.22625,2.67945,1.11945,M
111021,112092,460.4721,1734.8235,745.0011,287.4795,1.38375,1.4856,1.0032,1.04295,3.88725,0.92715,P
121138.5,122583,480.9963,1727.7,706.4667,329.28225,1.32705,1.4823,1.146,1.1475,3.21825,1.0212,M
92383.5,94408.5,420.04695,1483.7265,583.85145,304.6545,1.27965,1.4679,0.93735,1.1865,2.8746,1.0791,M
108178.5,109060.5,454.539,1541.892,605.75595,341.95635,1.2381,1.48785,1.11675,1.28655,2.6571,1.1256,M
126354,127872,491.2416,1911.984,685.39845,355.731,1.2822,1.48215,0.9156,0.97725,2.89005,1.07505,P
112177.5,113037,462.86415,1697.196,726.09735,295.6557,1.36995,1.4886,1.1301,1.10115,3.68385,0.95625,P
144583.5,145638,525.48465,1799.733,698.4747,396.83505,1.23435,1.4892,1.11615,1.2621,2.64015,1.12845,M
122988,124360.5,484.65435,1762.1955,741.2823,319.37505,1.3536,1.4835,1.03545,1.11975,3.4815,0.9807,P
99297,100159.5,435.4806,1517.7975,623.1885,305.26695,1.3077,1.4871,0.95625,1.21875,3.06225,1.0482,M
83787,84591,400.02675,1349.298,521.1402,308.9319,1.20795,1.48575,1.06245,1.30125,2.53035,1.1514,M
130573.5,132648,499.3767,1687.143,629.4276,399.94935,1.1583,1.4766,1.10745,1.29705,2.3607,1.1901,M
112110,113467.5,462.72495,1696.2555,711.6558,302.56335,1.35765,1.482,1.12995,1.10175,3.52815,0.9753,P
152808,154002,540.2238,1852.8795,721.4346,406.17495,1.2396,1.4883,1.02,1.2585,2.6643,1.1232,M
96289.5,97269,428.835,1484.607,583.3422,316.27335,1.26045,1.48485,0.9867,1.23525,2.7666,1.10265,M
115659,116680.5,469.992,1652.406,674.21385,328.7607,1.30965,1.4868,1.1004,1.1976,3.0762,1.04565,P
142590,144654,521.8494,1884.6045,786.06495,348.84975,1.34415,1.47855,1.10085,1.13505,3.37995,0.99585,P
109207.5,110085,456.6957,1559.382,614.26125,340.3437,1.24875,1.488,1.10505,1.26975,2.7072,1.11525,M
137719.5,138847.5,512.85945,1738.5285,675.11505,391.11435,1.22265,1.48785,1.0209,1.28835,2.58915,1.13955,M
89229,89982,412.81335,1463.658,599.40525,286.32015,1.31775,1.4874,1.12095,1.17765,3.14025,1.03305,P
139141.5,140074.5,515.5005,1819.8165,753.61335,353.5902,1.32465,1.48995,0.90555,1.188,3.19695,1.026,P
106317,107898,450.61125,1734.8895,629.64795,325.503,1.284,1.47795,1.11675,0.9987,2.9016,1.07355,M
145203,146322,526.6092,1826.5605,732.06165,379.84785,1.28235,1.4886,1.0137,1.2306,2.89095,1.0791,M
83772,84417,399.9909,1404.639,575.976,278.84985,1.3125,1.4886,1.0908,1.20045,3.09825,1.04175,P
128629.5,130587,495.6453,1803.0915,750.2592,329.4099,1.34775,1.4775,1.0416,1.1187,3.4164,0.9909,P
134620.5,135727.5,507.0564,1809.546,748.13535,344.77035,1.33125,1.4877,1.06635,1.16235,3.255,1.0167,P
122469,123459,483.6306,1667.2665,662.37465,354.38355,1.2672,1.488,0.9813,1.24575,2.80365,1.09515,M
106951.5,108067.5,451.9539,1595.325,653.214,314.7102,1.31445,1.48455,1.0194,1.18815,3.1134,1.03785,P
138301.5,139405.5,513.942,1798.9635,724.1655,366.35745,1.2939,1.48815,1.107,1.20825,2.96505,1.06455,M
111418.5,112732.5,461.2956,1617.45,650.89965,327.9648,1.2957,1.48245,1.0497,1.2042,2.97705,1.06305,M
115473,117022.5,469.61385,1713.996,706.80615,312.96765,1.3449,1.4802,1.05675,1.11135,3.3876,0.9966,P
127089,128610,492.6684,1656.7485,603.46635,404.35005,1.11345,1.4823,1.1172,1.3092,2.2386,1.2246,M
96109.5,100725,428.4339,1549.875,607.74495,310.7724,1.2891,1.4313,1.0461,1.1313,2.9334,1.0575,M
113571,114555,465.7302,1631.7825,667.14915,326.76105,1.3077,1.4871,1.0029,1.206,3.06255,1.04715,P
118332,120441,475.39185,1798.419,590.44005,387.0279,1.1328,1.47375,1.1052,1.0344,2.2884,1.20765,M
132424.5,133467,502.9038,1720.818,681.2097,372.7563,1.2555,1.4883,1.00365,1.26435,2.74125,1.10745,M
130293,131391,498.84,1784.2455,741.201,336.54735,1.3365,1.4874,1.1259,1.15725,3.3036,1.0095,P
148909.5,150691.5,533.2881,2022.069,872.8737,326.7915,1.39095,1.4823,0.9876,1.02975,4.0065,0.9165,P
128782.5,129772.5,495.9399,1741.365,709.428,348.01335,1.3071,1.4886,1.1157,1.20075,3.05775,1.04865,P
101160,103116,439.5468,1562.082,626.9319,310.3536,1.30335,1.4715,1.0968,1.17225,3.03015,1.05165,M
92742,93870,420.8613,1429.398,554.31765,321.9432,1.22115,1.482,1.1394,1.2834,2.5827,1.1388,M
151320,152587.5,537.5871,1881.417,752.55465,385.4844,1.2882,1.48755,1.1262,1.2087,2.9283,1.07145,M
122332.5,123762,483.36105,1665.8715,655.6944,358.5252,1.25595,1.4826,0.98265,1.24635,2.74335,1.1058,M
114088.5,115273.5,466.7901,1664.187,660.5682,333.7722,1.2945,1.48455,1.1499,1.16475,2.96865,1.0599,P
135565.5,136767,508.833,1807.47,755.31,343.41045,1.33605,1.4868,1.14345,1.1733,3.2991,1.01055,P
135753,137074.5,509.18475,1734.7095,662.77995,392.59365,1.20855,1.4856,1.053,1.27545,2.5323,1.15245,M
137007,137956.5,511.5312,1815.087,758.2602,346.47435,1.33425,1.48965,1.14315,1.17585,3.28275,1.0119,P
130000.5,131047.5,498.27975,1739.169,705.70005,352.7967,1.29915,1.488,1.1169,1.21515,3.00045,1.05915,M
143530.5,144612,523.56765,1875.1095,774.6732,355.3488,1.3329,1.48875,0.9819,1.15425,3.27,1.01385,P
161430,163396.5,555.25545,2087.9145,890.5944,348.9093,1.38015,1.482,1.08465,1.047,3.82875,0.93525,P
109179,110752.5,456.63615,1550.1285,580.9572,361.22355,1.1748,1.4787,1.0875,1.28475,2.41245,1.179,M
92656.5,93495,420.6672,1442.775,567.22455,312.78855,1.2513,1.4865,1.00305,1.2585,2.7201,1.1124,M
143077.5,144240,522.7407,1879.914,775.6239,353.1507,1.33545,1.48785,0.90615,1.14465,3.29445,1.011,P
104397,105703.5,446.5239,1537.947,595.0371,337.8624,1.2348,1.4814,0.9945,1.248,2.6418,1.1256,M
124602,125704.5,487.824,1819.029,786.89415,304.02645,1.38345,1.4868,1.13775,1.0647,3.8823,0.92985,P
137526,138907.5,512.49915,1887.717,795.8619,332.5572,1.36275,1.48515,1.11915,1.09125,3.5898,0.966,P
145698,147343.5,527.50605,1965.3345,845.9211,331.0278,1.38045,1.4832,1.0014,1.0665,3.8331,0.9354,P
118134,119770.5,474.99405,1817.823,794.77455,285.49455,1.39995,1.47945,1.1076,1.01085,4.17585,0.8964,P
101106,101895,439.4295,1555.857,646.3371,299.6994,1.329,1.48845,1.1169,1.18095,3.2349,1.01985,P
98376,99364.5,433.4562,1589.793,669.42075,282.77865,1.3596,1.48515,1.08705,1.10055,3.55095,0.97125,P
124438.5,125752.5,487.5039,1706.97,681.49575,352.1574,1.28415,1.4844,1.03455,1.2075,2.9028,1.07295,M
176203.5,177490.5,580.10685,2113.329,892.3614,378.0372,1.3587,1.48905,1.14285,1.11555,3.54075,0.97515,P
155242.5,156823.5,544.5102,1997.3955,834.9675,358.0968,1.3551,1.48485,1.0827,1.10025,3.49755,0.97815,P
154686,156003,543.5334,1899.903,768.9879,385.98525,1.29735,1.4874,0.96855,1.2117,2.98845,1.0602,M
137616,139188,512.6667,1779.723,697.6122,378.37605,1.26015,1.48305,1.12725,1.2285,2.76555,1.10235,P
164409,165468,560.3553,2067.0825,883.0206,356.2152,1.3725,1.4904,0.85605,1.08795,3.71835,0.9519,P
108555,110107.5,455.32935,1582.6845,627.74385,331.647,1.2735,1.47885,0.95985,1.22535,2.8392,1.08795,M
140977.5,142875,518.89035,1847.7345,728.5785,373.50645,1.2879,1.48005,0.9177,1.16745,2.9259,1.0683,M
86901,87976.5,407.3925,1400.0355,553.17105,301.8126,1.257,1.4817,1.0686,1.25355,2.7492,1.10475,M
98179.5,99040.5,433.02315,1562.7525,650.7675,289.6413,1.34325,1.48695,0.86955,1.1367,3.3702,0.9981,P
127470,129090,493.40625,1686.5235,636.53295,384.06525,1.19625,1.48125,1.04745,1.26705,2.4861,1.16265,M
115161,116167.5,468.97905,1669.4235,690.33315,319.33305,1.3299,1.48695,0.94965,1.16835,3.2427,1.0191,P
102159,103405.5,441.71175,1550.9445,606.93825,322.2081,1.27125,1.48185,1.05975,1.20075,2.82555,1.0917,M
125127,126499.5,488.8506,1664.406,638.2365,375.3291,1.2132,1.4838,1.05855,1.2771,2.55075,1.14885,M
112845,114207,464.2392,1600.8255,631.0746,343.2555,1.25865,1.48215,1.11975,1.245,2.75775,1.1034,M
123451.5,124516.5,485.56665,1809.7545,778.3023,304.8228,1.38015,1.4871,0.81465,1.06575,3.82995,0.93585,P
137548.5,138460.5,512.541,1857.6345,792.21585,332.62335,1.3614,1.4901,1.1355,1.12695,3.57255,0.9705,P
